iter	RMSE
0	0.9020819054
1	0.9002841085
2	0.8990428651
3	0.8973115927
4	0.8960121161
5	0.8941669338
6	0.8937000708
7	0.8922528481
8	0.8904062869
9	0.8900100772
10	0.8878477212
11	0.8856457854
12	0.8849210177
13	0.8827234321
14	0.8814330518
15	0.8803110854
16	0.8783746924
17	0.8763658721
18	0.8752608307
19	0.8738386015
20	0.872241714
21	0.8706455509
22	0.8702779184
23	0.8696134258
24	0.8688901706
25	0.8669725763
26	0.8647220006
27	0.8631036154
28	0.8612296638
29	0.8606958089
30	0.8596735963
31	0.8589113571
32	0.8576512178
33	0.8566695392
34	0.8558786514
35	0.8540741036
36	0.852850094
37	0.8516958993
38	0.8497346411
39	0.8493829774
40	0.8481794548
41	0.8471252399
42	0.8451121579
43	0.843888561
44	0.8422926305
45	0.8414030978
46	0.8390387634
47	0.8380439222
48	0.8365223778
49	0.8352188795
50	0.8341587172
51	0.8326219959
52	0.8319387766
53	0.8311229382
54	0.8295900189
55	0.8286100298
56	0.8270620032
57	0.8259123888
58	0.8243891151
59	0.8237281055
60	0.8227674761
61	0.8222970797
62	0.8206209298
63	0.8202859715
64	0.8187739459
65	0.8181417209
66	0.8168072747
67	0.8158772268
68	0.8148617656
69	0.8146324946
70	0.8133115177
71	0.8124631424
72	0.8112848055
73	0.8108710254
74	0.8096217598
75	0.8080475239
76	0.8070247277
77	0.8058439773
78	0.8049348665
79	0.8041333731
80	0.8024274844
81	0.8013336688
82	0.8002145015
83	0.7990367418
84	0.7982744788
85	0.7975455589
86	0.7965040616
87	0.7948879432
88	0.7937562735
89	0.7935050258
90	0.7929947966
91	0.7918825087
92	0.7911427222
93	0.790146417
94	0.7889403015
95	0.7878813649
96	0.7865160335
97	0.7853680076
98	0.7836709539
99	0.7824555622
100	0.781800401
101	0.7806822831
102	0.7804440434
103	0.7787879014
104	0.7783597221
105	0.7776917723
106	0.7762366649
107	0.7752941639
108	0.7736972263
109	0.7724497672
110	0.7720417565
111	0.7710720861
112	0.7699491304
113	0.7696693111
114	0.7684806306
115	0.7678747209
116	0.7669174364
117	0.7658600872
118	0.7648059581
119	0.7638666485
120	0.7622708064
121	0.7615183503
122	0.7611200717
123	0.7600883325
124	0.7584400922
125	0.7578021328
126	0.756942573
127	0.7549656472
128	0.7537374897
129	0.752779401
130	0.7508492329
131	0.7506167981
132	0.7497569073
133	0.7485212638
134	0.7477204387
135	0.746842346
136	0.7466475096
137	0.7458094909
138	0.7451456858
139	0.7444285908
140	0.7428062409
141	0.7422123585
142	0.74086995
143	0.7397998836
144	0.7388482567
145	0.7384860694
146	0.7374691213
147	0.7368232362
148	0.7360260505
149	0.7351933243
150	0.7349262721
151	0.7339898231
152	0.7334502509
153	0.7327955877
154	0.7322588926
155	0.7303470555
156	0.7292192286
157	0.7286174789
158	0.7274773545
159	0.7264444218
160	0.7262889853
161	0.726025429
162	0.7252311658
163	0.7242932985
164	0.723949006
165	0.7228394059
166	0.722117132
167	0.721589534
168	0.7206086633
169	0.7202385751
170	0.7192514754
171	0.7190730204
172	0.7183315162
173	0.7179655707
174	0.716873837
175	0.716615133
176	0.7152648626
177	0.714942618
178	0.7146100122
179	0.7138086862
180	0.7134052487
181	0.7126709511
182	0.7124636547
183	0.7106560147
184	0.7093613234
185	0.7081649655
186	0.7070175275
187	0.7061709309
188	0.7057401592
189	0.7053100356
190	0.7041737963
191	0.7033314493
192	0.7026148227
193	0.7008926818
194	0.7003961579
195	0.7002039811
196	0.6994505712
197	0.6991729609
198	0.6989831766
199	0.698509954
200	0.6974391114
201	0.6965683016
202	0.6956509438
203	0.6950856504
204	0.6948208908
205	0.6945255326
206	0.6935147016
207	0.6925581954
208	0.691232567
209	0.6910384239
210	0.6907558215
211	0.6898961031
212	0.6896546418
213	0.6884858412
214	0.6872032824
215	0.6869729699
216	0.6862029028
217	0.6859271454
218	0.6853001614
219	0.6851390564
220	0.6841976512
221	0.6832154079
222	0.6824899796
223	0.6819745508
224	0.6811043749
225	0.6799176508
226	0.6788023482
227	0.6777626896
228	0.6776146795
229	0.6771391273
230	0.6769388356
231	0.6760729473
232	0.6752505125
233	0.6742055259
234	0.6734086587
235	0.6726413804
236	0.6718787542
237	0.6717132538
238	0.6715344596
239	0.6707831533
240	0.6697822727
241	0.6690274025
242	0.6682264158
243	0.6680362669
244	0.6666482234
245	0.6665065966
246	0.6662105734
247	0.6655140188
248	0.6645803502
249	0.6642180007
250	0.6635766139
251	0.6617185282
252	0.6609852932
253	0.6605415678
254	0.6590483883
255	0.6583427896
256	0.6576502073
257	0.6567143685
258	0.6556414457
259	0.6543232534
260	0.6536464791
261	0.6532437576
262	0.6524498744
263	0.6513763918
264	0.6503831087
265	0.6496531815
266	0.6472957307
267	0.646786712
268	0.6461456565
269	0.6451770927
270	0.6444620769
271	0.6440781042
272	0.6430156088
273	0.6411575184
274	0.6400470442
275	0.6388120491
276	0.6380550641
277	0.6373728021
278	0.6363365628
279	0.6360972844
280	0.6357469627
281	0.6348757169
282	0.6342757625
283	0.6337737872
284	0.633586697
285	0.6321652483
286	0.6311107359
287	0.6309076708
288	0.6298567554
289	0.6291221712
290	0.6289582641
291	0.6285858135
292	0.6273806502
293	0.6265454144
294	0.6249289606
295	0.6247307215
296	0.6240832147
297	0.6234345936
298	0.6216913433
299	0.6211155568
300	0.6201077722
301	0.6194653481
302	0.6192904187
303	0.6191193089
304	0.618929015
305	0.6184322792
306	0.6172194018
307	0.6163160952
308	0.6158033255
309	0.6138280359
310	0.6123544478
311	0.6119483078
312	0.6101586868
313	0.6092263086
314	0.6090611325
315	0.6079296943
316	0.6073255992
317	0.6065699813
318	0.6059946564
319	0.6043895099
320	0.6029947778
321	0.6026600897
322	0.6019970267
323	0.6017720236
324	0.6005008292
325	0.6002975356
326	0.598505711
327	0.5973975917
328	0.5972413382
329	0.5969140803
330	0.5963296668
331	0.5957247968
332	0.5951997917
333	0.5943904787
334	0.5934213897
335	0.5918154504
336	0.5901401085
337	0.5893203119
338	0.5887741315
339	0.5880585877
340	0.5864735708
341	0.5863247511
342	0.5855951547
343	0.5853936583
344	0.5848343279
345	0.584296851
346	0.5837603042
347	0.5819061113
348	0.5806523674
349	0.5793065876
350	0.5785044152
351	0.5768445318
352	0.5760248692
353	0.5749732705
354	0.5734033817
355	0.5732259409
356	0.5722868825
357	0.5714662677
358	0.5706245868
359	0.5701096264
360	0.5686368551
361	0.567234898
362	0.5666370263
363	0.566500387
364	0.5659619674
365	0.5658456939
366	0.5654049944
367	0.5652783871
368	0.5639315223
369	0.5628249827
370	0.5615159597
371	0.5604541305
372	0.5599127538
373	0.5589084478
374	0.558347184
375	0.5577158112
376	0.5572884825
377	0.5571240023
378	0.5562787257
379	0.5550052729
380	0.5548751993
381	0.5547545662
382	0.554625892
383	0.5538738186
384	0.5522145614
385	0.5515707282
386	0.5512143427
387	0.5505904506
388	0.5500727957
389	0.5490064872
390	0.5477242447
391	0.5469406146
392	0.5464662184
393	0.5456737206
394	0.5447957302
395	0.5444687877
396	0.5432476926
397	0.5425292677
398	0.5413017238
399	0.5407669585
400	0.5403070085
401	0.5398667243
402	0.5383607187
403	0.5376326584
404	0.5366813531
405	0.5358434638
406	0.5350187049
407	0.534628395
408	0.534321562
409	0.5328517376
410	0.5321831005
411	0.5309942829
412	0.530885108
413	0.5301527634
414	0.5297064752
415	0.5287566546
416	0.5277572609
417	0.5270935286
418	0.525915034
419	0.5256103571
420	0.524021637
421	0.5237276447
422	0.5232808007
423	0.5228368574
424	0.5217992303
425	0.5212089269
426	0.5199223092
427	0.5187987463
428	0.5186689928
429	0.5177637195
430	0.5165782441
431	0.5154888017
432	0.5147339296
433	0.5134378467
434	0.5131501186
435	0.5120143128
436	0.5107259786
437	0.5097039317
438	0.5088053037
439	0.5084163286
440	0.5078452515
441	0.5072372329
442	0.5060524258
443	0.5056596534
444	0.5045009882
445	0.5041556647
446	0.5037269794
447	0.5033262995
448	0.5025105615
449	0.5021184784
450	0.5010894022
451	0.5006212584
452	0.5000694323
453	0.4989292072
454	0.4984234515
455	0.4974723238
456	0.4968851685
457	0.4966140125
458	0.4963141966
459	0.4959380317
460	0.495852158
461	0.4949585984
462	0.4946589653
463	0.4936917077
464	0.4932647161
465	0.4922202912
466	0.4913448611
467	0.4909728141
468	0.490513342
469	0.4899788522
470	0.4892176026
471	0.4881374064
472	0.4876816202
473	0.4872025428
474	0.4862507746
475	0.4850911223
476	0.4844608469
477	0.4841176603
478	0.4836186609
479	0.4832696971
480	0.4822061559
481	0.4813747579
482	0.4811129042
483	0.4809895219
484	0.4806013013
485	0.4798126569
486	0.4792827374
487	0.4790244816
488	0.4785350039
489	0.4784120558
490	0.4780691932
491	0.4777066142
492	0.4767759625
493	0.4765316876
494	0.4756075613
495	0.4752619403
496	0.4750923833
497	0.474162846
498	0.4733080326
499	0.4729079359
500	0.4721222035
501	0.471618307
502	0.4707947805
503	0.4698465428
504	0.4694542064
505	0.4687375975
506	0.4685549104
507	0.467836844
508	0.4667084786
509	0.465980458
510	0.4656708011
511	0.4647395031
512	0.4640247764
513	0.4634129347
514	0.4629991769
515	0.4620322435
516	0.4615077484
517	0.4607573032
518	0.4599594382
519	0.4591939432
520	0.4582818282
521	0.4578802802
522	0.4574976805
523	0.4569205527
524	0.4561095171
525	0.455333259
526	0.454329743
527	0.4538957773
528	0.4534079324
529	0.4527383484
530	0.4523549503
531	0.4517074601
532	0.4513586974
533	0.4509909801
534	0.4507558579
535	0.4502918249
536	0.4494226291
537	0.4482451159
538	0.4473846934
539	0.4470724594
540	0.446425802
541	0.4462325216
542	0.4457841483
543	0.4452511089
544	0.4444344698
545	0.4435042968
546	0.4428843506
547	0.442455434
548	0.4415300387
549	0.4407472481
550	0.4400219893
551	0.4393655854
552	0.439118722
553	0.4386362379
554	0.4378622003
555	0.4370228472
556	0.4364411091
557	0.4356843723
558	0.4351057865
559	0.4347980794
560	0.4342653513
561	0.4333547661
562	0.4332633445
563	0.4330476397
564	0.4326010231
565	0.4318690852
566	0.4312278298
567	0.4310431747
568	0.4304683796
569	0.4295203207
570	0.4286704406
571	0.4284352103
572	0.4276296625
573	0.4269825547
574	0.4267254124
575	0.4265013245
576	0.4262486729
577	0.4254936041
578	0.4247287487
579	0.4243514403
580	0.4238608386
581	0.4235134976
582	0.4228788607
583	0.4223488788
584	0.4216615869
585	0.4208031659
586	0.4204750667
587	0.4202397596
588	0.4200301627
589	0.4197331185
590	0.4195591161
591	0.4190275962
592	0.4185738852
593	0.4182739766
594	0.4179495851
595	0.4177083288
596	0.4169474454
597	0.416310415
598	0.4154866916
599	0.4148860626
600	0.4142965881
601	0.4134125037
602	0.4127099149
603	0.4123881842
604	0.4115544473
605	0.4106925438
606	0.4102081877
607	0.4100024171
608	0.4094834989
609	0.4090100841
610	0.408559682
611	0.4077961368
612	0.4075100368
613	0.4072570214
614	0.4066403399
615	0.4058527809
616	0.4049834034
617	0.4043265526
618	0.4037041953
619	0.4033651706
620	0.4026935222
621	0.4022389517
622	0.4016806474
623	0.4015259055
624	0.40136328
625	0.4010846246
626	0.4007235991
627	0.4005870124
628	0.3998262085
629	0.3989971788
630	0.3982336744
631	0.3978874093
632	0.397151264
633	0.3969547778
634	0.3964269523
635	0.3958062514
636	0.3951890987
637	0.3948728632
638	0.3943532581
639	0.3941031923
640	0.3935401317
641	0.392944231
642	0.3926291663
643	0.3918767682
644	0.3916477432
645	0.3914021746
646	0.3907949982
647	0.3902298854
648	0.3900443014
649	0.3896275528
650	0.3888913274
651	0.3881671956
652	0.3875193397
653	0.3868607959
654	0.3867147102
655	0.3864025608
656	0.386139588
657	0.385813057
658	0.3855247148
659	0.3851697839
660	0.38483347
661	0.3845356781
662	0.3842283991
663	0.3839037433
664	0.3832180693
665	0.3825336725
666	0.3818347683
667	0.3811149741
668	0.3808186493
669	0.3801579254
670	0.3795702075
671	0.3791355412
672	0.3785552152
673	0.3784134685
674	0.3778613203
675	0.377545288
676	0.3773907387
677	0.3768089518
678	0.3762245475
679	0.3760312721
680	0.3759683344
681	0.3757494937
682	0.375483455
683	0.375087925
684	0.3740500422
685	0.3736509864
686	0.3730592781
687	0.3728861625
688	0.3722764672
689	0.372223874
690	0.371848738
691	0.3714651272
692	0.3712953159
693	0.3708056366
694	0.370070082
695	0.3699097435
696	0.3692106358
697	0.3687260502
698	0.3681187984
699	0.3677390328
700	0.3676144951
701	0.3669137477
702	0.3664447511
703	0.3659239976
704	0.365875657
705	0.3650221899
706	0.3646296023
707	0.3642608042
708	0.3637690241
709	0.3632707967
710	0.3626746959
711	0.3621109157
712	0.3618701087
713	0.3613425167
714	0.3611067702
715	0.3608013479
716	0.360372219
717	0.3601876617
718	0.3595120528
719	0.3593658409
720	0.3588612749
721	0.3584678847
722	0.3577968503
723	0.3573693924
724	0.3569461334
725	0.3567317056
726	0.3563103979
727	0.3560968638
728	0.355779676
729	0.3554521441
730	0.3548751861
731	0.3543217829
732	0.3537656212
733	0.3534341747
734	0.3529577421
735	0.3524764607
736	0.3522945864
737	0.3518673561
738	0.3514939002
739	0.350725397
